Filename,Formula,Notes,Num Elements,4a,4b
,,,,0.000 0.000 0.000 ,0.500 0.500 0.500
532563.cif,NZr,,2,N,Zr
529600.cif,PbTe,,2,Pb,Te
530979.cif,CaS,,2,Ca,S
532845.cif,CU,,2,C,U
531936.cif,NSm,,2,Sm,N
457759.cif,NdS,,2,Nd,S
1300994.cif,PPu,,2,Pu,P
251923.cif,SeTb,,2,Tb,Se
457082.cif,SbY,,2,Y,Sb
251991.cif,TeYb,,2,Yb,Te
250114.cif,CTh,,2,C,Th
458627.cif,AmBi,,2,Am,Bi
450424.cif,SSc,,2,S,Sc
456661.cif,PU,,2,U,P
1300919.cif,IK,,2,K,I
456395.cif,CNp,,2,Np,C
1300940.cif,FLi,,2,Li,F
534507.cif,EuS,,2,Eu,S
251993.cif,SYb,,2,Yb,S
531686.cif,PrSe,,2,Pr,Se
